"parameter","cat1","cat2","p"
"asc_cmax","894.57 (725.164 - 1014.238)","675.115 (651.303 - 861.697)","44.914 (32.287 - 58.639)"
"asc_tmax","30 (30 - 30)","90 (90 - 90)","60 (0 - 165)"
"asc_auc","1.538 (1.162 - 1.634)","1.26 (1.23 - 1.516)","0.117 (0.084 - 0.134)"
"asc_auc_30_90","0.703 (0.533 - 0.766)","0.524 (0.492 - 0.665)","0.038 (0.027 - 0.049)"
"asc_c_mean_30_90","717.81 (550.437 - 788.62)","517.61 (492.55 - 661.899)","38.129 (26.852 - 49.505)"
"asc_ke","0.632 (0.591 - 0.677)","0.613 (0.583 - 0.676)","NA (NA - NA)"
"asc_t12","1.098 (1.024 - 1.173)","1.131 (1.028 - 1.19)","NA (NA - NA)"
"asc_Cl","5.657 (5.236 - 7.512)","5.221 (4.544 - 5.756)","NA (NA - NA)"
"asc_V","10.165 (8.463 - 12.5)","8.821 (6.778 - 9.369)","NA (NA - NA)"
"asc_auc_inf","2.488 (1.905 - 2.685)","2.448 (2.222 - 2.822)","0 (0 - 0)"
"nac_cmax","608.307 (515.723 - 630.091)","760.255 (752.681 - 767.828)","0 (0 - 0)"
"nac_tmax","30 (30 - 30)","90 (90 - 90)","0 (0 - 0)"
"nac_auc","0.848 (0.617 - 0.942)","1.601 (1.517 - 1.71)","0 (0 - 0)"
"nac_auc_30_90","0.415 (0.287 - 0.462)","0.682 (0.663 - 0.731)","0 (0 - 0)"
"nac_c_mean_30_90","429.289 (302.668 - 473.051)","680.776 (657.184 - 720.101)","0 (0 - 0)"
"nac_ke","0.457 (0.353 - 0.558)","0.387 (0.372 - 0.409)","NA (NA - NA)"
"nac_t12","1.528 (1.247 - 1.987)","1.793 (1.697 - 1.865)","NA (NA - NA)"
"nac_Cl","9.182 (6.875 - 11.03)","6.953 (6.399 - 7.214)","NA (NA - NA)"
"nac_V","18.432 (12.489 - 27.196)","17.625 (16.814 - 18.433)","NA (NA - NA)"
"nac_auc_inf","1.335 (1.12 - 1.829)","3.525 (3.399 - 3.839)","0 (0 - 0)"
"dfo_cmax","7.555 (5.795 - 7.823)","3.794 (3.319 - 5.228)","0 (0 - 0)"
"dfo_tmax","30 (30 - 30)","60 (60 - 60)","0 (0 - 0)"
"dfo_auc","0.007 (0.006 - 0.007)","0.005 (0.004 - 0.005)","0 (0 - 0)"
"dfo_auc_30_90","0.004 (0.004 - 0.004)","0.003 (0.002 - 0.004)","0 (0 - 0)"
"dfo_c_mean_30_90","4.043 (3.652 - 4.201)","2.657 (1.952 - 3.509)","0 (0 - 0)"
"dfo_ke","1.444 (1.149 - 3.859)","2.256 (1.105 - 6.508)","NA (NA - NA)"
"dfo_t12","0.49 (0.218 - 0.604)","0.359 (0.124 - 0.64)","NA (NA - NA)"
"dfo_Cl","222.903 (213.117 - 269.209)","480.248 (384.292 - 608.431)","NA (NA - NA)"
"dfo_V","157.608 (80.21 - 293.829)","315.957 (85.313 - 568.103)","NA (NA - NA)"
"dfo_auc_inf","0.008 (0.007 - 0.008)","0.006 (0.005 - 0.008)","0 (0 - 0)"
